날짜,요일,홈,방문,구장,관중수
2018/03/24,토,넥센,한화,고척,15055
2018/03/24,토,KIA,KT,광주,20500
2018/03/24,토,NC,LG,마산,11000
2018/03/24,토,SK,롯데,문학,25000
2018/03/24,토,두산,삼성,잠실,25000
2018/03/25,일,넥센,한화,고척,13010
2018/03/25,일,KIA,KT,광주,20500
2018/03/25,일,NC,LG,마산,11000
2018/03/25,일,SK,롯데,문학,22765
2018/03/25,일,두산,삼성,잠실,20240
2018/03/27,화,NC,한화,마산,5037
2018/03/27,화,SK,KT,문학,6067
2018/03/27,화,넥센,LG,고척,4401
2018/03/27,화,두산,롯데,잠실,10391
2018/03/27,화,KIA,삼성,광주,6892
2018/03/28,수,NC,한화,마산,5003
2018/03/28,수,SK,KT,문학,5701
2018/03/28,수,넥센,LG,고척,4437
2018/03/28,수,두산,롯데,잠실,10382
2018/03/28,수,KIA,삼성,광주,8347
2018/03/29,목,NC,한화,마산,4872
2018/03/29,목,SK,KT,문학,5936
2018/03/29,목,넥센,LG,고척,4219
2018/03/29,목,두산,롯데,잠실,10956
2018/03/29,목,KIA,삼성,광주,7839
2018/03/30,금,LG,KIA,잠실,22667
2018/03/30,금,롯데,NC,사직,21124
2018/03/30,금,KT,두산,수원,13562
2018/03/30,금,한화,SK,대전,10354
2018/03/30,금,삼성,넥센,대구,11683
2018/03/31,토,LG,KIA,잠실,25000
2018/03/31,토,롯데,NC,사직,25000
2018/03/31,토,KT,두산,수원,16852
2018/03/31,토,한화,SK,대전,13000
2018/03/31,토,삼성,넥센,대구,16572
2018/04/01,일,LG,KIA,잠실,23815
2018/04/01,일,롯데,NC,사직,19432
2018/04/01,일,KT,두산,수원,16137
2018/04/01,일,한화,SK,대전,9528
2018/04/01,일,삼성,넥센,대구,14336
2018/04/03,화,SK,KIA,문학,15052
2018/04/03,화,넥센,KT,고척,1814
2018/04/03,화,두산,LG,잠실,13557
2018/04/03,화,한화,롯데,대전,5740
2018/04/03,화,NC,삼성,마산,5655
2018/04/04,수,SK,KIA,문학,14639
2018/04/04,수,넥센,KT,고척,2081
2018/04/04,수,두산,LG,잠실,12742
2018/04/04,수,한화,롯데,대전,3891
2018/04/04,수,NC,삼성,마산,3192
2018/04/05,목,넥센,KT,고척,2489
2018/04/05,목,NC,삼성,마산,3904
2018/04/06,금,롯데,LG,사직,8814
2018/04/06,금,KIA,넥센,광주,10616
2018/04/07,토,KT,한화,수원,14746
2018/04/07,토,롯데,LG,사직,14498
2018/04/07,토,두산,NC,잠실,16586
