날짜,요일,홈,방문,구장,관중수
2019/03/23,토,두산,한화,잠실,25000
2019/03/23,토,SK,KT,문학,21909
2019/03/23,토,KIA,LG,광주,20500
2019/03/23,토,NC,삼성,창원,22112
2019/03/23,토,롯데,키움,사직,24500
2019/03/24,일,두산,한화,잠실,25000
2019/03/24,일,SK,KT,문학,15421
2019/03/24,일,KIA,LG,광주,17597
2019/03/24,일,NC,삼성,창원,20067
2019/03/24,일,롯데,키움,사직,22218
2019/03/26,화,KIA,한화,광주,5553
2019/03/26,화,NC,KT,창원,4782
2019/03/26,화,SK,LG,문학,6718
2019/03/26,화,롯데,삼성,사직,7345
2019/03/26,화,두산,키움,잠실,6155
2019/03/27,수,KIA,한화,광주,6251
2019/03/27,수,NC,KT,창원,5154
2019/03/27,수,SK,LG,문학,6319
2019/03/27,수,롯데,삼성,사직,8136
2019/03/27,수,두산,키움,잠실,5784
2019/03/28,목,KIA,한화,광주,5629
2019/03/28,목,NC,KT,창원,4757
2019/03/28,목,SK,LG,문학,8053
2019/03/28,목,롯데,삼성,사직,7625
2019/03/28,목,두산,키움,잠실,6752
2019/03/29,금,KT,KIA,수원,16156
2019/03/29,금,LG,롯데,잠실,19370
2019/03/29,금,한화,NC,대전,12152
2019/03/29,금,삼성,두산,대구,12361
2019/03/29,금,키움,SK,고척,5435
2019/03/30,토,KT,KIA,수원,11475
2019/03/30,토,LG,롯데,잠실,20601
2019/03/30,토,한화,NC,대전,11239
2019/03/30,토,삼성,두산,대구,20559
2019/03/30,토,키움,SK,고척,7330
2019/03/31,일,KT,KIA,수원,13861
2019/03/31,일,LG,롯데,잠실,21267
2019/03/31,일,한화,NC,대전,11878
2019/03/31,일,삼성,두산,대구,14084
2019/03/31,일,키움,SK,고척,5682
2019/04/02,화,삼성,KIA,대구,4818
2019/04/02,화,두산,KT,잠실,6091
2019/04/02,화,한화,LG,대전,6619
2019/04/02,화,SK,롯데,문학,6556
2019/04/02,화,NC,키움,창원,4602
2019/04/03,수,삼성,KIA,대구,5777
2019/04/03,수,두산,KT,잠실,5811
2019/04/03,수,한화,LG,대전,6002
2019/04/03,수,SK,롯데,문학,6457
2019/04/03,수,NC,키움,창원,4945
2019/04/04,목,삼성,KIA,대구,5863
2019/04/04,목,두산,KT,잠실,5427
2019/04/04,목,한화,LG,대전,6650
2019/04/04,목,SK,롯데,문학,7352
2019/04/04,목,NC,키움,창원,4806
2019/04/05,금,롯데,한화,사직,11451
2019/04/05,금,KT,LG,수원,5671
2019/04/05,금,두산,NC,잠실,10365
2019/04/05,금,SK,삼성,문학,9178
2019/04/05,금,KIA,키움,광주,7048
2019/04/06,토,롯데,한화,사직,23305
2019/04/06,토,KT,LG,수원,8509
2019/04/06,토,두산,NC,잠실,14279
2019/04/06,토,SK,삼성,문학,14617
2019/04/06,토,KIA,키움,광주,15302
2019/04/07,일,롯데,한화,사직,11028
2019/04/07,일,KT,LG,수원,12563
